Timestamp,Your Class,Which sessions did you attend?,How would you rate the sessions you attended?,What did you like about the sessions?,Any suggestions to improve the sessions?,Any overall feedback about Teacher's Day?,Column 1
9/5/2025 14:50:13,1EK1,BEE,4,,,,1EK1BEE
9/5/2025 15:40:31,1EK1,BEE,4,Good ,No,Good ,1EK1BEE
9/5/2025 15:53:18,1EK1,BEE,1,There was nothing that I understood,Yes very bad attitude and did not learn anything ,Students should get holiday ,1EK1BEE
9/5/2025 19:47:59,1EK1,BEE,5,Freely interaction with students.,No,Yes make them my professors they are the best,1EK1BEE
9/5/2025 14:39:54,1EK1,FSSI,5,,,,1EK1FSSI
9/5/2025 14:39:57,1EK1,FSSI,4,,,,1EK1FSSI
9/5/2025 14:40:22,1EK1,FSSI,4,,,,1EK1FSSI
9/5/2025 14:40:39,1EK1,FSSI,4,,,Good,1EK1FSSI
9/5/2025 14:40:45,1EK1,FSSI,3,,,,1EK1FSSI
9/5/2025 14:41:12,1EK1,FSSI,5,Everything ,No,Nice !!,1EK1FSSI
9/5/2025 14:41:47,1EK1,FSSI,5,IR sensor ,Nope ,Good ,1EK1FSSI
9/5/2025 14:41:47,1EK1,FSSI,3,Sir thaught about Arduino ,No ,No,1EK1FSSI
9/5/2025 14:41:54,1EK1,FSSI,3,,,,1EK1FSSI
9/5/2025 14:42:12,1EK1,FSSI,5,Explanation ,No,Good,1EK1FSSI
9/5/2025 14:42:26,1EK1,FSSI,5,Experiment shown was excellent ,,"Teacher was good enough to learnt us
",1EK1FSSI
9/5/2025 14:43:21,1EK1,FSSI,5,,,,1EK1FSSI
9/5/2025 14:43:49,1EK1,FSSI,4,Good ,No,,1EK1FSSI
9/5/2025 14:44:16,1EK1,FSSI,5,,,,1EK1FSSI
9/5/2025 14:45:24,1EK1,FSSI,3,,,,1EK1FSSI
9/5/2025 14:45:25,1EK1,FSSI,4,,,,1EK1FSSI
9/5/2025 14:46:26,1EK1,FSSI,5,He explained well about hardware ,No,No,1EK1FSSI
9/5/2025 14:46:41,1EK1,FSSI,2,Wxplanations,Need to explain better,Happy teachers day ,1EK1FSSI
9/5/2025 14:49:16,1EK1,FSSI,4,4,,,1EK1FSSI
9/5/2025 15:39:54,1EK1,FSSI,4,Yes,No,,1EK1FSSI
9/5/2025 15:51:19,1EK1,FSSI,5,Very good and good explanation ,Should speak loudly,Students should get holiday ,1EK1FSSI
9/5/2025 19:47:16,1EK1,FSSI,5,Freely interaction with students.,No,Yes make them my professors they are the best,1EK1FSSI
9/5/2025 14:37:53,1EK1,ICP,5,,,,1EK1ICP
9/5/2025 14:38:28,1EK1,ICP,5,Explanation ,No,Very good enjoyed ,1EK1ICP
9/5/2025 14:38:35,1EK1,ICP,4,"I liked, ICP ",,,1EK1ICP
9/5/2025 14:39:00,1EK1,ICP,5,Explanation of arrays and memory allocation ,Quiz can be added,Nice,1EK1ICP
9/5/2025 14:39:01,1EK1,ICP,4,,,,1EK1ICP
9/5/2025 14:39:37,1EK1,ICP,4,,,,1EK1ICP
9/5/2025 14:39:44,1EK1,ICP,3,,,,1EK1ICP
9/5/2025 14:39:48,1EK1,ICP,4,,,,1EK1ICP
9/5/2025 14:39:55,1EK1,ICP,4,Good ,No,,1EK1ICP
9/5/2025 14:40:18,1EK1,ICP,4,,,Good,1EK1ICP
9/5/2025 14:40:28,1EK1,ICP,5,Interaction with students ,Make the students to be attention ,Good,1EK1ICP
9/5/2025 14:40:32,1EK1,ICP,5,Fully interactive and full of knowledge ,Just a little activity can be more interactive,No they ,1EK1ICP
9/5/2025 14:40:35,1EK1,ICP,3,They explained ver well and we are free to ask doubts in the lacture ,No ,Very good ,1EK1ICP
9/5/2025 14:40:40,1EK1,ICP,3,Teaching way,Nothing ,No feedbacks,1EK1ICP
9/5/2025 14:40:48,1EK1,ICP,4,They didn't hesitate to explain again,None,None,1EK1ICP
9/5/2025 14:40:51,1EK1,ICP,5,Clearing doubts ,"No, good enough ",Good ,1EK1ICP
9/5/2025 14:41:04,1EK1,ICP,4,They taught us very well,We are non gujarati people but they are using Gujarat that we don't understand ,"No, but it's better to have holiday in teacher's day",1EK1ICP
9/5/2025 14:41:57,1EK1,ICP,5,N8ce conversation ,Good,Good ,1EK1ICP
9/5/2025 14:42:01,1EK1,ICP,4,Programming launguage ,No,Excellent session ,1EK1ICP
9/5/2025 14:42:21,1EK1,ICP,4,Clear the doubt ,No,Good ,1EK1ICP
9/5/2025 14:42:24,1EK1,ICP,5,Everything ,No ,Nice !!,1EK1ICP
9/5/2025 14:42:44,1EK1,ICP,4,Programming Language ,No,Excellent session ,1EK1ICP
9/5/2025 14:42:49,1EK1,ICP,5,,,,1EK1ICP
9/5/2025 14:43:06,1EK1,ICP,5,Everything ,No,Nice !!,1EK1ICP
9/5/2025 14:43:39,1EK1,ICP,3,,,,1EK1ICP
9/5/2025 14:43:48,1EK1,ICP,5,Explanation ,No,Good,1EK1ICP
9/5/2025 14:43:57,1EK1,ICP,5,,,,1EK1ICP
9/5/2025 14:44:08,1EK1,ICP,4,Good experience and learned new topic in coding,Just don't mess try keeping it simple,Great,1EK1ICP
9/5/2025 14:44:15,1EK1,ICP,4,Yes,No,,1EK1ICP
9/5/2025 14:44:22,1EK1,ICP,3,,,,1EK1ICP
9/5/2025 14:45:02,1EK1,ICP,5,I LIKE THE WAY THEY INTERACTED AFTER THE COMPLETION OF EXPLANATION.,They must have speak english more then gujarati.we know that they are from Gujarat as their mother tounge is Gujarati.But if they have speak more english than Gujarati means that would be nice apart from that everything is good,No,1EK1ICP
9/5/2025 14:45:05,1EK1,ICP,4,,,,1EK1ICP
9/5/2025 14:45:55,1EK1,ICP,2,Clarifying doubts,Need to explain perfectly,Happy teachers day,1EK1ICP
9/5/2025 14:46:30,1EK1,ICP,5,,,,1EK1ICP
9/5/2025 14:47:03,1EK1,ICP,,,,,1EK1ICP
9/5/2025 14:47:36,1EK1,ICP,4,I really enjoyed ICP sessions and learned about array and function and they are teaching very well to us.,,I really enjoyed whole day and appreciate all seniors to their work.,1EK1ICP
9/5/2025 14:48:04,1EK1,ICP,4,4,,,1EK1ICP
9/5/2025 15:50:03,1EK1,ICP,5,It was very informative and interactive ,Should give online quiz,Yes students should get holiday ,1EK1ICP
9/5/2025 19:46:31,1EK1,ICP,5,Freely interaction with students.,Yes make them my professors they are the best,No,1EK1ICP
9/5/2025 14:06:09,3EK1,Basics of VLSI,4,Good ,N / A,,3EK1Basics of VLSI
9/5/2025 14:06:35,3EK1,Basics of VLSI,5,Good,All good,,3EK1Basics of VLSI
9/5/2025 14:08:11,3EK1,Basics of VLSI,4,"All good, Better Understanding of Concepts",No suggestions,Good,3EK1Basics of VLSI
9/5/2025 14:10:46,3EK1,Basics of VLSI,4,IC manufacturing step by step process.,Keep it up...,Good work for this day...,3EK1Basics of VLSI
9/5/2025 14:12:42,3EK1,Basics of VLSI,2,,,,3EK1Basics of VLSI
9/5/2025 14:18:51,3EK1,Basics of VLSI,4,,,,3EK1Basics of VLSI
9/5/2025 12:33:17,3EK1,DSC++,4,Good session ,N / A,,3EK1DSC++
9/5/2025 12:39:17,3EK1,DSC++,5,The way they explain concept ,No it's overall Good ,Good ,3EK1DSC++
9/5/2025 12:48:55,3EK1,DSC++,4,They used to explain by real world example ,NA ,NA,3EK1DSC++
9/5/2025 14:07:37,3EK1,DSC++,5,The way of Teaching ,No need to improve ,,3EK1DSC++
9/5/2025 14:08:42,3EK1,DSC++,5,,,,3EK1DSC++
9/5/2025 14:10:33,3EK1,DSC++,5,"All good, Better Understanding of Concepts ",No suggestions,Good,3EK1DSC++
9/5/2025 14:12:13,3EK1,DSC++,4,,,,3EK1DSC++
9/5/2025 14:14:47,3EK1,DSC++,5,Link list concepts.,Keep it up...,Great work for today's event...,3EK1DSC++
9/5/2025 14:16:32,3EK1,DSC++,5,Detailed explanation of Linked Lists from scratch. Balanced session where both theoretical concept as well as practical implementation were covered. ,Nope,Very well planned. ,3EK1DSC++
9/5/2025 11:30:15,3EK1,Networking,4,,,,3EK1Networking
9/5/2025 11:30:27,3EK1,Networking,4,,,,3EK1Networking
9/5/2025 11:30:55,3EK1,Networking,5,They manage everything during the session.,"No, they are going good",N/A,3EK1Networking
9/5/2025 11:33:27,3EK1,Networking,5,,,,3EK1Networking
9/5/2025 11:34:20,3EK1,Networking,4,,,,3EK1Networking
9/5/2025 12:39:50,3EK1,Networking,5,,Good ,Good ,3EK1Networking
9/5/2025 14:08:02,3EK1,Networking,3,Good,Good,,3EK1Networking
9/5/2025 14:09:14,3EK1,Networking,4,"All good, Better Understanding of Concepts ",No suggestions,Good,3EK1Networking
9/5/2025 14:13:00,3EK1,Networking,3,,,,3EK1Networking
9/5/2025 14:17:59,3EK1,Networking,4,,,,3EK1Networking
9/5/2025 14:24:08,3EK1,Networking,4,All new details about network.,Keep it up...,Good activity for the Teacher's Day...,3EK1Networking
9/5/2025 14:43:20,3EK2,CoA,5,Good friendly teaching ,No,No,3EK2CoA
9/5/2025 16:05:54,3EK2,CoA,5,Explanation ,No,Good,3EK2CoA
9/5/2025 16:10:52,3EK2,CoA,5,Teaching,No,Good,3EK2CoA
9/5/2025 18:43:57,3EK2,CoA,3,Explanation ,Explanation ,Happy Teachers day ,3EK2CoA
9/5/2025 14:14:31,3EK2,DSC++,4,,,,3EK2DSC++
9/5/2025 14:14:32,3EK2,DSC++,3,,,,3EK2DSC++
9/5/2025 14:16:31,3EK2,DSC++,2,,,,3EK2DSC++
9/5/2025 14:16:38,3EK2,DSC++,4,Explanation ,Good ,Good,3EK2DSC++
9/5/2025 14:17:00,3EK2,DSC++,2,Nul,Nul,Nul,3EK2DSC++
9/5/2025 14:18:32,3EK2,DSC++,1,,,,3EK2DSC++
9/5/2025 14:19:49,3EK2,DSC++,5,Good explanation ,Nothing ,Nothing ,3EK2DSC++
9/5/2025 14:19:59,3EK2,DSC++,3,Good ,Nothing ,Good ,3EK2DSC++
9/5/2025 14:40:41,3EK2,Found. of Electronics,4,,,Good ,3EK2Found. of Electronics
9/5/2025 16:04:45,3EK2,Found. of Electronics,5,Excellent ,No,Good,3EK2Found. of Electronics
9/5/2025 16:11:38,3EK2,Found. of Electronics,4,Teaching ,No ,Good ,3EK2Found. of Electronics
9/5/2025 18:49:10,3EK2,Found. of Electronics,3,Explanation ,Explanation ,Happy Teachers day ,3EK2Found. of Electronics
9/5/2025 14:29:45,3EK2,Networking,5,Seniors teaching ,Not really,Just Happy Teacher's Day,3EK2Networking
9/5/2025 16:07:36,3EK2,Networking,4,Confidence,Clarity about topics,Good,3EK2Networking
9/5/2025 16:08:35,3EK2,Networking,4,Teaching,No,Good ,3EK2Networking
9/5/2025 14:16:14,3EK2,Programming,5,New topic explanation ,NA,Very good ,3EK2Programming
9/5/2025 14:16:17,3EK2,Programming,5,,,,3EK2Programming
9/5/2025 14:16:51,3EK2,Programming,3,Nothing ,,Good,3EK2Programming
9/5/2025 14:17:05,3EK2,Programming,4,They  said new topics ,No,Good ,3EK2Programming
9/5/2025 14:17:08,3EK2,Programming,3,Nothing ,Nothing ,Nothing,3EK2Programming
9/5/2025 14:17:09,3EK2,Programming,3,Programming ,I am poor in programming ,Good ,3EK2Programming
9/5/2025 14:17:36,3EK2,Programming,3,Interactive,Speak in english,It is good,3EK2Programming
9/5/2025 14:18:05,3EK2,Programming,3,Explanation ,Explanation ,Happy Teachers day ,3EK2Programming
9/5/2025 14:18:19,3EK2,Programming,3,Explanation ,Explanation ,Happy teachers day 💐,3EK2Programming
9/5/2025 14:18:34,3EK2,Programming,5,Teaching and explaination was clear and good ,,Good,3EK2Programming
9/5/2025 14:18:55,3EK2,Programming,3,Interactive,Speak in english,It was good,3EK2Programming
9/5/2025 14:18:56,3EK2,Programming,5,Teaching,Need more explanation ,Good,3EK2Programming
9/5/2025 14:18:57,3EK2,Programming,3,,,,3EK2Programming
9/5/2025 14:18:58,3EK2,Programming,3,,,,3EK2Programming
9/5/2025 14:19:07,3EK2,Programming,5,Clear explanation ,,Good,3EK2Programming
9/5/2025 14:19:29,3EK2,Programming,4,Explained the topics well with good and engaging examples,Nothing except more volume,Enjoyed it,3EK2Programming
9/5/2025 14:19:47,3EK2,Programming,3,Knowledge about the subject ,,Very good initiative. We learner alot from our seniors ,3EK2Programming
9/5/2025 14:19:54,3EK2,Programming,3,Teaching quality ,More details ,Good ,3EK2Programming
9/5/2025 14:20:07,3EK2,Programming,4,,,Good,3EK2Programming
9/5/2025 14:20:18,3EK2,Programming,4,Explanation,No,Good,3EK2Programming
9/5/2025 14:21:58,3EK2,Programming,5,Teaching,No,Good,3EK2Programming
9/5/2025 14:23:12,3EK2,Programming,2,,,,3EK2Programming
9/5/2025 14:24:08,3EK2,Programming,4,Good,Examples ,Better ,3EK2Programming
9/5/2025 14:24:40,3EK2,Programming,3,"Interactive sessions that allows user engagement.
understanding key concepts through sharing of one open platform to teach each other.",Just confidence ,50,3EK2Programming
9/5/2025 14:35:14,3EK2,Programming,3,Teaching quality ,More details explain ,Good ,3EK2Programming
9/5/2025 16:12:12,3EK2,Programming,5,Teaching ,No,Good,3EK2Programming
9/5/2025 11:14:20,3EK3,Basics of VLSI,5,Good ,No,Well and good ,3EK3Basics of VLSI
9/5/2025 11:18:09,3EK3,Basics of VLSI,3,Way of teaching ,Explanation ,Good ,3EK3Basics of VLSI
9/5/2025 11:18:33,3EK3,Basics of VLSI,4,,,,3EK3Basics of VLSI
9/5/2025 11:18:50,3EK3,Basics of VLSI,5,Communication skills,No suggestion ,5/5,3EK3Basics of VLSI
9/5/2025 11:19:36,3EK3,Basics of VLSI,4,Good,Nothing ,Happy teacher's day ,3EK3Basics of VLSI
9/5/2025 11:19:44,3EK3,Basics of VLSI,5,Nice ,,,3EK3Basics of VLSI
9/5/2025 11:20:23,3EK3,Basics of VLSI,4,,,,3EK3Basics of VLSI
9/5/2025 11:21:01,3EK3,Basics of VLSI,4,IMPORTANCE OF VLSI,Nothing ,HAPPY TEACHERS DAY ,3EK3Basics of VLSI
9/5/2025 11:21:29,3EK3,Basics of VLSI,3,Interduction of IC,No ,It's good,3EK3Basics of VLSI
9/5/2025 11:21:31,3EK3,Basics of VLSI,5,The way they took initiative ,Voice should be loud and more clear ,"Thank you so much for teaching us about the VLSI 
The way you took the initiative it's more good 
But voice should more loud and clear ",3EK3Basics of VLSI
9/5/2025 11:21:50,3EK3,Basics of VLSI,5,Good ,Nothing ,5/5,3EK3Basics of VLSI
9/5/2025 11:22:17,3EK3,Basics of VLSI,3,"Good , but ",need more confidence ,Good,3EK3Basics of VLSI
9/5/2025 11:29:08,3EK3,Basics of VLSI,4,Teaching ,Ntg,Good,3EK3Basics of VLSI
9/5/2025 11:30:58,3EK3,Basics of VLSI,4,Yes ,No,Good,3EK3Basics of VLSI
9/5/2025 12:28:58,3EK3,Basics of VLSI,4,,,,3EK3Basics of VLSI
9/5/2025 12:35:17,3EK3,Basics of VLSI,5,Explation,The madam sir need to improve the speech and conversation with student,50/50,3EK3Basics of VLSI
9/5/2025 12:38:31,3EK3,Basics of VLSI,3,Study About Gates and prossess of Prossessor Build and All.,No Need to Improve all good.,All good..,3EK3Basics of VLSI
9/5/2025 12:38:31,3EK3,Basics of VLSI,5,I was understood all the topics very well and also clear all the basics of electronics,No,Very enjoying ,3EK3Basics of VLSI
9/5/2025 13:20:17,3EK3,Basics of VLSI,4,VLSI skills ,No,No,3EK3Basics of VLSI
9/5/2025 13:43:07,3EK3,Basics of VLSI,3,Teaching ,Good,Good ,3EK3Basics of VLSI
9/5/2025 13:51:02,3EK3,Basics of VLSI,5,all,no,everything is good,3EK3Basics of VLSI
9/5/2025 14:04:46,3EK3,Basics of VLSI,5,Explained everything in detail ,NA ,NA ,3EK3Basics of VLSI
9/5/2025 10:56:32,3EK3,BEE,4,It was ovarall good ,No,It is excellent ,3EK3BEE
9/5/2025 10:57:28,3EK3,BEE,4,I was good ,No,Good ,3EK3BEE
9/5/2025 10:30:46,3EK3,Found. of Electronics,4,,,,3EK3Found. of Electronics
9/5/2025 10:31:19,3EK3,Found. of Electronics,5,Good,No,Nice and humble ,3EK3Found. of Electronics
9/5/2025 11:19:17,3EK3,Found. of Electronics,5,Good explanation ,,,3EK3Found. of Electronics
9/5/2025 11:20:00,3EK3,Found. of Electronics,5,Teaching skills ,No suggestion ,10/10,3EK3Found. of Electronics
9/5/2025 11:20:29,3EK3,Found. of Electronics,4,,,,3EK3Found. of Electronics
9/5/2025 11:21:06,3EK3,Found. of Electronics,5,Good teaching ,Nothing ,4.5/5,3EK3Found. of Electronics
9/5/2025 11:22:05,3EK3,Found. of Electronics,4,Usefull ,Voice should be more loud and clear ,Good and usfell for upcoming students and for teaching students for their to build  confidence ,3EK3Found. of Electronics
9/5/2025 11:22:50,3EK3,Found. of Electronics,4,SPEAKING ,Nothing ,Every thing was good and like to say happy teachers day,3EK3Found. of Electronics
9/5/2025 11:23:19,3EK3,Found. of Electronics,5,Good,Good confidence ,10/10,3EK3Found. of Electronics
9/5/2025 11:24:35,3EK3,Found. of Electronics,5,The way you guys explain the topic,"Voice should be more loud and clear 
They should be more confident and explanation ","Thank you for teaching the topic that we don't know about 

You should be more confident ",3EK3Found. of Electronics
9/5/2025 12:29:58,3EK3,Found. of Electronics,3,,,,3EK3Found. of Electronics
9/5/2025 12:32:53,3EK3,Found. of Electronics,5,Good,No,Very good,3EK3Found. of Electronics
9/5/2025 12:36:20,3EK3,Found. of Electronics,4,"All the Concepts about the conductor, Insulator, and semi-conductor and all the others also,",No All Far It's Good In the Taken Session.,All the Concepts Reunderstand and Enjoying the all lec. ,3EK3Found. of Electronics
9/5/2025 13:52:45,3EK3,Found. of Electronics,5,all,all,everything is good,3EK3Found. of Electronics
9/5/2025 12:26:30,3EK3,Programming,5,Good ,Good,Good,3EK3Programming
9/5/2025 12:26:33,3EK3,Programming,4,,,,3EK3Programming
9/5/2025 12:28:06,3EK3,Programming,5,Way of explaining,,,3EK3Programming
9/5/2025 12:28:22,3EK3,Programming,5,Good ,No,Overall is very good,3EK3Programming
9/5/2025 12:28:37,3EK3,Programming,5,The way he taught ,Nope its excellent ,Nope its good,3EK3Programming
9/5/2025 12:29:22,3EK3,Programming,5,,,,3EK3Programming
9/5/2025 12:29:31,3EK3,Programming,5,Very good ,No ,Excellent ,3EK3Programming
9/5/2025 12:29:34,3EK3,Programming,5,,,,3EK3Programming
9/5/2025 12:29:37,3EK3,Programming,5,Good,No,Everything is very good,3EK3Programming
9/5/2025 12:30:21,3EK3,Programming,5,Good,No,Very good,3EK3Programming
9/5/2025 12:32:12,3EK3,Programming,3,Explanation ,Voice should increase more,Good and usefull ,3EK3Programming
9/5/2025 12:34:13,3EK3,Programming,5,Explanation ,No,Going nice ,3EK3Programming
9/5/2025 12:39:43,3EK3,Programming,3,All the Search concepts and all.,No Need.,All Excellent Till Now going and Good Day.,3EK3Programming
9/5/2025 13:19:34,3EK3,Programming,4,About many programming skills,No,No,3EK3Programming
9/5/2025 13:53:25,3EK3,Programming,5,all,all,everything is good,3EK3Programming
9/5/2025 14:15:55,5EK1,DevOps+CN,4,,,,5EK1DevOps+CN
9/5/2025 14:16:33,5EK1,DevOps+CN,5,Got exposure to devops,,,5EK1DevOps+CN
9/5/2025 14:16:33,5EK1,DevOps+CN,5,,,,5EK1DevOps+CN
9/5/2025 14:16:49,5EK1,DevOps+CN,5,The way we were taught about things and the ppt,No,Amazinggg,5EK1DevOps+CN
9/5/2025 14:16:55,5EK1,DevOps+CN,5,We got to know about deveops more,Nothing it’s just a bit monotonous type if you can make it more interactive like your club session ,It’s going good ,5EK1DevOps+CN
9/5/2025 14:17:00,5EK1,DevOps+CN,5,Everything ,Nope,It’s very good and I would love to attend more sessions like this ,5EK1DevOps+CN
9/5/2025 14:17:02,5EK1,DevOps+CN,4,How the interview for placement works,NA,,5EK1DevOps+CN
9/5/2025 14:17:02,5EK1,DevOps+CN,4,All,Nothing ,Teacher Day is Good and effort of all teachers are very good  happy Teachers day,5EK1DevOps+CN
9/5/2025 14:17:05,5EK1,DevOps+CN,4,Interview experience was shared which was helpful,No,Good but please include hardware domain as well as many of us are from that domain,5EK1DevOps+CN
9/5/2025 14:17:31,5EK1,DevOps+CN,5,Got to know abt Devops,Another full session in detail for this field,,5EK1DevOps+CN
9/5/2025 14:17:31,5EK1,DevOps+CN,5,All things ,Nothing ,,5EK1DevOps+CN
9/5/2025 14:17:42,5EK1,DevOps+CN,4,,N/A,,5EK1DevOps+CN
9/5/2025 14:17:48,5EK1,DevOps+CN,4,All,No,All good From the all the teachers ,5EK1DevOps+CN
9/5/2025 14:17:48,5EK1,DevOps+CN,4,,NA,,5EK1DevOps+CN
9/5/2025 14:17:49,5EK1,DevOps+CN,5,They has explained each and every point in easy way. Even if I have any doubt regarding to point they have explained me in very easier way.,No suggestion required because they have explained very well style.,Specific for DevOps+CN i like that lecture.,5EK1DevOps+CN
9/5/2025 14:17:59,5EK1,DevOps+CN,4,"The clarified our doubts about LA, and explained us about interview questions.",No ,Good ,5EK1DevOps+CN
9/5/2025 14:18:27,5EK1,DevOps+CN,4,,,,5EK1DevOps+CN
9/5/2025 14:55:57,5EK1,DevOps+CN,5,DevOps+CN,nil,excellent ,5EK1DevOps+CN
9/5/2025 14:16:49,5EK2,DevOps+CN,5,Got to know more about Devops,Once more ,Lecture leva ava mando...,5EK2DevOps+CN
9/5/2025 12:49:22,5EK2,OOP,4,Good and great,"No, just add some examples…",It’s really good and seniors give us good knowledge of placements and which type of questions ask in placement that really good approach by seniors.,5EK2OOP
